ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20251225,56.06,62.01,55.82,59.42,57.5,1.92,3.3391,210260.33,1238869.195
300731.SZ,20251224,55.3,59.2,54.44,57.5,55.44,2.06,3.7157,214945.89,1220467.858
300731.SZ,20251223,50.76,56.69,50.7,55.44,51.64,3.8,7.3586,213929.53,1150816.104
300731.SZ,20251222,50.75,52.0,50.23,51.64,50.65,0.99,1.9546,130178.0,667618.107
300731.SZ,20251219,51.1,51.97,49.72,50.65,50.23,0.42,0.8362,129023.56,655429.687
300731.SZ,20251218,52.4,53.18,50.02,50.23,53.18,-2.95,-5.5472,148028.0,760318.386
300731.SZ,20251217,48.35,53.67,48.35,53.18,47.9,5.28,11.023,232483.78,1205307.744
300731.SZ,20251216,46.96,49.35,45.3,47.9,46.82,1.08,2.3067,131836.18,622307.099
300731.SZ,20251215,47.6,48.68,46.42,46.82,48.26,-1.44,-2.9838,75443.0,358716.527
300731.SZ,20251212,46.63,49.25,45.83,48.26,47.01,1.25,2.659,99732.0,476796.646
300731.SZ,20251211,49.6,49.62,46.96,47.01,49.06,-2.05,-4.1786,74443.73,357215.345
300731.SZ,20251210,49.01,49.5,47.82,49.06,48.99,0.07,0.1429,90646.0,441626.66
300731.SZ,20251209,47.77,50.55,47.6,48.99,47.92,1.07,2.2329,136915.97,668581.842
300731.SZ,20251208,44.48,48.6,44.33,47.92,44.56,3.36,7.5404,159138.97,752808.802
300731.SZ,20251205,45.51,45.51,43.8,44.56,45.55,-0.99,-2.1734,74974.57,333912.752
300731.SZ,20251204,45.0,45.85,44.1,45.55,45.23,0.32,0.7075,75921.0,343030.764
300731.SZ,20251203,47.0,47.0,44.92,45.23,46.8,-1.57,-3.3547,69826.0,318338.984
300731.SZ,20251202,48.1,48.1,46.38,46.8,48.29,-1.49,-3.0855,78158.0,365849.846
300731.SZ,20251201,47.48,49.48,46.32,48.29,47.65,0.64,1.3431,133054.0,636657.337
300731.SZ,20251128,48.31,49.12,47.13,47.65,48.79,-1.14,-2.3365,117603.0,564819.525
300731.SZ,20251127,46.42,49.98,46.42,48.79,46.42,2.37,5.1056,168232.4,822039.151
300731.SZ,20251126,47.0,47.66,45.71,46.42,46.81,-0.39,-0.8332,99704.5,465023.87
300731.SZ,20251125,44.63,48.2,44.63,46.81,44.21,2.6,5.881,155521.45,726039.74
300731.SZ,20251124,43.28,45.25,41.35,44.21,42.52,1.69,3.9746,145235.05,628365.736
300731.SZ,20251121,46.0,46.5,42.5,42.52,47.22,-4.7,-9.9534,142377.05,628097.253
300731.SZ,20251120,46.96,47.93,44.5,47.22,45.39,1.83,4.0317,123496.57,568726.165
300731.SZ,20251119,47.8,48.19,44.8,45.39,48.11,-2.72,-5.6537,123511.0,570711.217
