ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20251224,65.95,68.8,65.01,66.54,66.34,0.2,0.3015,251702.04,1684810.293
301018.SZ,20251223,58.76,68.0,58.76,66.34,58.35,7.99,13.6932,289039.08,1834267.353
301018.SZ,20251222,57.51,60.0,57.29,58.35,56.82,1.53,2.6927,119394.7,698815.914
301018.SZ,20251219,56.99,57.9,55.27,56.82,56.96,-0.14,-0.2458,114239.46,648630.368
301018.SZ,20251218,59.49,60.65,56.94,56.96,59.31,-2.35,-3.9622,174800.98,1025731.401
301018.SZ,20251217,56.66,59.8,56.59,59.31,56.18,3.13,5.5714,178541.3,1046134.05
301018.SZ,20251216,54.6,57.76,53.58,56.18,55.03,1.15,2.0898,116562.7,645330.789
301018.SZ,20251215,55.3,55.98,54.5,55.03,56.47,-1.44,-2.55,85474.51,471967.469
301018.SZ,20251212,53.81,57.23,53.1,56.47,54.16,2.31,4.2651,138050.43,766745.911
301018.SZ,20251211,55.39,55.44,54.0,54.16,55.44,-1.28,-2.3088,67468.97,368286.193
301018.SZ,20251210,55.99,56.35,53.65,55.44,56.55,-1.11,-1.9629,116277.75,635570.943
301018.SZ,20251209,54.45,57.67,54.01,56.55,53.97,2.58,4.7804,150451.85,843750.141
301018.SZ,20251208,52.0,54.51,51.9,53.97,51.78,2.19,4.2294,64748.54,349686.097
301018.SZ,20251205,50.37,52.18,49.75,51.78,50.33,1.45,2.881,42472.41,217613.061
301018.SZ,20251204,50.85,51.12,49.66,50.33,50.86,-0.53,-1.0421,36794.63,185167.057
301018.SZ,20251203,51.94,52.58,50.28,50.86,51.95,-1.09,-2.0982,56876.81,290972.788
301018.SZ,20251202,53.55,53.55,51.79,51.95,53.58,-1.63,-3.0422,40237.21,210034.647
301018.SZ,20251201,53.23,54.28,52.92,53.58,53.51,0.07,0.1308,43826.13,234677.295
301018.SZ,20251128,53.69,54.27,52.79,53.51,53.75,-0.24,-0.4465,50360.55,268587.585
301018.SZ,20251127,55.01,56.1,53.62,53.75,54.98,-1.23,-2.2372,59599.48,326804.163
301018.SZ,20251126,54.3,56.0,53.21,54.98,54.66,0.32,0.5854,90375.0,496850.032
301018.SZ,20251125,52.0,55.38,52.0,54.66,51.67,2.99,5.7867,93251.38,505983.532
301018.SZ,20251124,50.53,52.31,50.28,51.67,50.52,1.15,2.2763,46248.01,237228.432
301018.SZ,20251121,51.87,52.65,50.48,50.52,52.92,-2.4,-4.5351,49980.92,256929.837
301018.SZ,20251120,53.75,54.21,51.93,52.92,52.83,0.09,0.1704,54254.01,285715.622
301018.SZ,20251119,54.44,54.94,52.61,52.83,54.55,-1.72,-3.1531,58308.43,311483.627
301018.SZ,20251118,55.0,55.9,54.25,54.55,55.41,-0.86,-1.5521,51696.0,283386.388
301018.SZ,20251117,54.5,56.93,54.5,55.41,54.49,0.92,1.6884,78650.47,436893.232
301018.SZ,20251114,54.6,56.14,53.72,54.49,55.2,-0.71,-1.2862,79590.64,437939.827
301018.SZ,20251113,51.92,56.2,51.8,55.2,51.78,3.42,6.6049,113837.3,619250.235
301018.SZ,20251112,52.3,52.4,51.06,51.78,52.4,-0.62,-1.1832,45334.06,234196.065
301018.SZ,20251111,53.8,53.8,52.24,52.4,53.4,-1.0,-1.8727,37985.76,200649.18
301018.SZ,20251110,54.5,55.0,52.82,53.4,54.23,-0.83,-1.5305,40617.88,217530.125
301018.SZ,20251107,54.8,55.16,53.5,54.23,55.06,-0.83,-1.5074,52158.46,283007.849
301018.SZ,20251106,53.83,55.39,53.83,55.06,54.05,1.01,1.8686,63786.1,349821.063
301018.SZ,20251105,52.0,54.8,51.9,54.05,52.85,1.2,2.2706,82664.22,439476.038
301018.SZ,20251104,52.1,54.5,52.1,52.85,56.39,-3.54,-6.2777,124679.41,662447.459
301018.SZ,20251103,57.63,57.63,55.03,56.39,57.82,-1.43,-2.4732,98833.85,553296.436
301018.SZ,20251031,56.9,58.24,56.66,57.82,57.13,0.69,1.2078,99836.28,574921.108
301018.SZ,20251030,62.96,62.99,57.08,57.13,65.6,-8.47,-12.9116,207834.02,1225543.663
301018.SZ,20251029,64.7,66.47,64.53,65.6,64.1,1.5,2.3401,86335.54,565042.039
301018.SZ,20251028,64.58,65.26,62.88,64.1,64.88,-0.78,-1.2022,65416.07,418640.888
301018.SZ,20251027,66.36,67.0,63.91,64.88,64.58,0.3,0.4645,97522.98,633976.09
301018.SZ,20251024,62.4,64.98,62.03,64.58,61.95,2.63,4.2454,84856.68,540181.656
301018.SZ,20251023,63.0,63.28,61.0,61.95,63.64,-1.69,-2.6556,59458.83,366416.07
301018.SZ,20251022,62.62,64.08,61.85,63.64,63.06,0.58,0.9198,63002.47,398947.908
301018.SZ,20251021,61.6,63.44,60.6,63.06,61.6,1.46,2.3701,86529.18,538343.322
301018.SZ,20251020,61.88,63.48,60.7,61.6,61.2,0.4,0.6536,83828.84,519672.012
301018.SZ,20251017,65.06,65.9,60.8,61.2,65.2,-4.0,-6.135,87638.21,545264.504
301018.SZ,20251016,65.89,66.94,64.52,65.2,66.05,-0.85,-1.2869,56705.0,371318.015
301018.SZ,20251015,65.3,66.8,63.0,66.05,65.3,0.75,1.1485,64768.01,421851.97
301018.SZ,20251014,68.0,69.52,65.01,65.3,67.32,-2.02,-3.0006,86124.31,577552.914
301018.SZ,20251013,64.01,67.78,62.5,67.32,67.83,-0.51,-0.7519,109157.64,718661.322
301018.SZ,20251010,67.7,70.6,67.27,67.83,69.42,-1.59,-2.2904,106128.72,730328.701
301018.SZ,20251009,71.31,74.0,68.85,69.42,71.31,-1.89,-2.6504,149236.05,1064757.41
301018.SZ,20250930,73.1,74.36,70.6,71.31,73.01,-1.7,-2.3284,86422.12,620748.356
301018.SZ,20250929,69.88,74.56,69.73,73.01,70.4,2.61,3.7074,91407.73,659534.871
301018.SZ,20250926,74.8,76.65,70.17,70.4,75.59,-5.19,-6.866,126936.95,911315.808
