candidate_id,result,issues,created_at
metric_cashflow_002837_20240930_c_inf_fr_operate_a_b9876a52,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240930_n_cashflow_act_3778d18a,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_net_profit_32cf343a,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_c_fr_sale_sg_c4c52e0a,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_c_inf_fr_operate_a_fec5fbce,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_n_cashflow_act_c813c34b,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_net_profit_8a0e6146,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_c_fr_sale_sg_f74150fe,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_c_inf_fr_operate_a_db5c1eca,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240630_n_cashflow_act_9c06d397,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_c_fr_sale_sg_d036d524,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_c_inf_fr_operate_a_9bd3ff6d,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_n_cashflow_act_7c9dc4d0,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_c_fr_sale_sg_4bb8b03d,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_c_inf_fr_operate_a_65ac48fe,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240331_n_cashflow_act_f6eff946,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_net_profit_ae4dbbf7,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_c_fr_sale_sg_18acc58f,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_c_inf_fr_operate_a_822e1ef1,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20231231_n_cashflow_act_1f6071d5,promoted,,2026-07-02T18:31:10Z
